Method;Text size;Alphabet size;Pattern size;Wildcards;Time
Native;10000;4;1000;1;249479
KMP;10000;4;1000;1;224445
KMP_O;10000;4;1000;1;245563
Native;10000;4;1000;2;245644
KMP;10000;4;1000;2;223472
KMP_O;10000;4;1000;2;244665
Native;10000;4;1000;3;243922
KMP;10000;4;1000;3;223705
KMP_O;10000;4;1000;3;245920
Native;10000;4;1000;4;243723
KMP;10000;4;1000;4;222786
KMP_O;10000;4;1000;4;244543
Native;100000;2;1000;0;2610063
KMP;100000;2;1000;0;2015611
KMP_O;100000;2;1000;0;2396530
Native;100000;2;1000;1;2588211
KMP;100000;2;1000;1;2134361
KMP_O;100000;2;1000;1;2446583
Native;100000;2;1000;2;2595047
KMP;100000;2;1000;2;2045673
KMP_O;100000;2;1000;2;2739794
Native;100000;2;1000;3;2636303
KMP;100000;2;1000;3;2022976
KMP_O;100000;2;1000;3;2203665
Native;100000;2;1000;4;2582453
KMP;100000;2;1000;4;2078118
KMP_O;100000;2;1000;4;2343657
Native;100000;4;1000;0;2618080
KMP;100000;4;1000;0;2056200
KMP_O;100000;4;1000;0;2292403
Native;100000;4;1000;1;2590107
KMP;100000;4;1000;1;2068094
KMP_O;100000;4;1000;1;2381766
Native;100000;4;1000;2;2645673
KMP;100000;4;1000;2;2026041
KMP_O;100000;4;1000;2;2320135
Native;100000;4;1000;3;2605964
KMP;100000;4;1000;3;2139676
KMP_O;100000;4;1000;3;2280827
Native;100000;4;1000;4;2609816
KMP;100000;4;1000;4;2014257
KMP_O;100000;4;1000;4;2781180
Native;10000;2;1100;0;240624
KMP;10000;2;1100;0;222097
KMP_O;10000;2;1100;0;310201
Native;10000;2;1100;1;242687
KMP;10000;2;1100;1;222841
KMP_O;10000;2;1100;1;284091
Native;10000;2;1100;2;240462
KMP;10000;2;1100;2;222447
KMP_O;10000;2;1100;2;283400
Native;10000;2;1100;3;240682
KMP;10000;2;1100;3;222618
KMP_O;10000;2;1100;3;283227
Native;10000;2;1100;4;244920
KMP;10000;2;1100;4;227225
KMP_O;10000;2;1100;4;288434
Native;10000;4;1100;0;247389
KMP;10000;4;1100;0;220379
KMP_O;10000;4;1100;0;243057
Native;10000;4;1100;1;245847
KMP;10000;4;1100;1;220616
KMP_O;10000;4;1100;1;243618
Native;10000;4;1100;2;244742
KMP;10000;4;1100;2;220540
KMP_O;10000;4;1100;2;245157
Native;10000;4;1100;3;253074
KMP;10000;4;1100;3;221337
KMP_O;10000;4;1100;3;247648
Native;10000;4;1100;4;243660
KMP;10000;4;1100;4;218017
KMP_O;10000;4;1100;4;256262
Native;100000;2;1100;0;2615716
KMP;100000;2;1100;0;2013651
KMP_O;100000;2;1100;0;2126541
Native;100000;2;1100;1;2612430
KMP;100000;2;1100;1;2064551
KMP_O;100000;2;1100;1;2116616
Native;100000;2;1100;2;2626919
KMP;100000;2;1100;2;2058785
KMP_O;100000;2;1100;2;2096819
Native;100000;2;1100;3;2581680
KMP;100000;2;1100;3;2098177
KMP_O;100000;2;1100;3;2307724
Native;100000;2;1100;4;2586129
KMP;100000;2;1100;4;2090395
KMP_O;100000;2;1100;4;2309093
Native;100000;4;1100;0;2618128
KMP;100000;4;1100;0;2025209
KMP_O;100000;4;1100;0;2316248
Native;100000;4;1100;1;2651701
KMP;100000;4;1100;1;2071997
KMP_O;100000;4;1100;1;2302961
Native;100000;4;1100;2;2601255
KMP;100000;4;1100;2;2031130
KMP_O;100000;4;1100;2;2261129
Native;100000;4;1100;3;2595496
KMP;100000;4;1100;3;2048734
KMP_O;100000;4;1100;3;2254130
Native;100000;4;1100;4;2600442
KMP;100000;4;1100;4;2035536
KMP_O;100000;4;1100;4;2171176
Native;10000;2;1200;0;238694
KMP;10000;2;1200;0;222484
KMP_O;10000;2;1200;0;295426
Native;10000;2;1200;1;239197
KMP;10000;2;1200;1;222184
KMP_O;10000;2;1200;1;293425
Native;10000;2;1200;2;267825
KMP;10000;2;1200;2;222464
KMP_O;10000;2;1200;2;293405
Native;10000;2;1200;3;238645
KMP;10000;2;1200;3;222701
KMP_O;10000;2;1200;3;297157
Native;10000;2;1200;4;239068
KMP;10000;2;1200;4;222850
KMP_O;10000;2;1200;4;294906
Native;10000;4;1200;0;240882
KMP;10000;4;1200;0;228746
KMP_O;10000;4;1200;0;243534
Native;10000;4;1200;1;240790
KMP;10000;4;1200;1;228937
KMP_O;10000;4;1200;1;244392
Native;10000;4;1200;2;239523
KMP;10000;4;1200;2;230069
KMP_O;10000;4;1200;2;246731
Native;10000;4;1200;3;241098
KMP;10000;4;1200;3;228954
KMP_O;10000;4;1200;3;243905
Native;10000;4;1200;4;250533
KMP;10000;4;1200;4;229513
KMP_O;10000;4;1200;4;243733
Native;100000;2;1200;0;2618655
KMP;100000;2;1200;0;2136252
KMP_O;100000;2;1200;0;2152655
Native;100000;2;1200;1;2583894
KMP;100000;2;1200;1;2147204
KMP_O;100000;2;1200;1;2311704
Native;100000;2;1200;2;2634216
KMP;100000;2;1200;2;2031397
KMP_O;100000;2;1200;2;2207939
Native;100000;2;1200;3;2599613
KMP;100000;2;1200;3;1997016
KMP_O;100000;2;1200;3;2103660
Native;100000;2;1200;4;2614244
KMP;100000;2;1200;4;2087464
KMP_O;100000;2;1200;4;2088404
Native;100000;4;1200;0;2585530
KMP;100000;4;1200;0;2073848
KMP_O;100000;4;1200;0;2383325
Native;100000;4;1200;1;2618375
KMP;100000;4;1200;1;2020950
KMP_O;100000;4;1200;1;2228722
Native;100000;4;1200;2;2643761
KMP;100000;4;1200;2;2069267
KMP_O;100000;4;1200;2;2114396
Native;100000;4;1200;3;2574827
KMP;100000;4;1200;3;2050955
KMP_O;100000;4;1200;3;2213990
Native;100000;4;1200;4;2585492
KMP;100000;4;1200;4;2057547
KMP_O;100000;4;1200;4;2358279
Native;10000;2;1300;0;239270
KMP;10000;2;1300;0;225847
KMP_O;10000;2;1300;0;241033
Native;10000;2;1300;1;239690
KMP;10000;2;1300;1;227523
KMP_O;10000;2;1300;1;237547
Native;10000;2;1300;2;242721
KMP;10000;2;1300;2;221453
KMP_O;10000;2;1300;2;259929
Native;10000;2;1300;3;243123
KMP;10000;2;1300;3;226999
KMP_O;10000;2;1300;3;260334
Native;10000;2;1300;4;243422
KMP;10000;2;1300;4;221398
KMP_O;10000;2;1300;4;262731
Native;10000;4;1300;0;241109
KMP;10000;4;1300;0;226842
KMP_O;10000;4;1300;0;288037
Native;10000;4;1300;1;241875
KMP;10000;4;1300;1;224285
KMP_O;10000;4;1300;1;260752
Native;10000;4;1300;2;238657
KMP;10000;4;1300;2;224461
KMP_O;10000;4;1300;2;259903
Native;10000;4;1300;3;238296
KMP;10000;4;1300;3;220925
KMP_O;10000;4;1300;3;240474
Native;10000;4;1300;4;238340
KMP;10000;4;1300;4;221255
KMP_O;10000;4;1300;4;239651
