Method;Text size;Alphabet size;Pattern size;Wildcards;Time
KMP_O;100000;2;2700;0;2436017
Native;100000;2;2700;1;2647713
KMP;100000;2;2700;1;2135112
KMP_O;100000;2;2700;1;2283361
Native;100000;2;2700;2;2582681
KMP;100000;2;2700;2;2060966
KMP_O;100000;2;2700;2;2298255
Native;100000;2;2700;3;2619283
KMP;100000;2;2700;3;2224661
KMP_O;100000;2;2700;3;2380720
Native;100000;2;2700;4;2554323
KMP;100000;2;2700;4;2113038
KMP_O;100000;2;2700;4;2364716
Native;100000;4;2700;0;2572054
KMP;100000;4;2700;0;2072650
KMP_O;100000;4;2700;0;2619345
Native;100000;4;2700;1;2611012
KMP;100000;4;2700;1;2081450
KMP_O;100000;4;2700;1;2752426
Native;100000;4;2700;2;2632388
KMP;100000;4;2700;2;2045022
KMP_O;100000;4;2700;2;2354715
Native;100000;4;2700;3;2578059
KMP;100000;4;2700;3;2058911
KMP_O;100000;4;2700;3;2381460
Native;100000;4;2700;4;2620002
KMP;100000;4;2700;4;2119548
KMP_O;100000;4;2700;4;2319628
Native;10000;2;2800;0;214202
KMP;10000;2;2800;0;251208
KMP_O;10000;2;2800;0;319960
Native;10000;2;2800;1;218272
KMP;10000;2;2800;1;248820
KMP_O;10000;2;2800;1;317787
Native;10000;2;2800;2;212886
KMP;10000;2;2800;2;249567
KMP_O;10000;2;2800;2;319042
Native;10000;2;2800;3;212893
KMP;10000;2;2800;3;249653
KMP_O;10000;2;2800;3;321656
Native;10000;2;2800;4;213168
KMP;10000;2;2800;4;249968
KMP_O;10000;2;2800;4;320515
Native;10000;4;2800;0;212126
KMP;10000;4;2800;0;252470
KMP_O;10000;4;2800;0;319038
Native;10000;4;2800;1;214052
KMP;10000;4;2800;1;253674
KMP_O;10000;4;2800;1;317947
Native;10000;4;2800;2;212403
KMP;10000;4;2800;2;252961
KMP_O;10000;4;2800;2;337451
Native;10000;4;2800;3;213677
KMP;10000;4;2800;3;269817
KMP_O;10000;4;2800;3;317837
Native;10000;4;2800;4;213723
KMP;10000;4;2800;4;252778
KMP_O;10000;4;2800;4;318112
Native;100000;2;2800;0;2576875
KMP;100000;2;2800;0;2109864
KMP_O;100000;2;2800;0;2802896
Native;100000;2;2800;1;2580667
KMP;100000;2;2800;1;2075524
KMP_O;100000;2;2800;1;2351673
Native;100000;2;2800;2;2569140
KMP;100000;2;2800;2;2029480
KMP_O;100000;2;2800;2;2191148
Native;100000;2;2800;3;2575753
KMP;100000;2;2800;3;2034160
KMP_O;100000;2;2800;3;2173966
Native;100000;2;2800;4;2609608
KMP;100000;2;2800;4;2110907
KMP_O;100000;2;2800;4;2347303
Native;100000;4;2800;0;2547527
KMP;100000;4;2800;0;2167515
KMP_O;100000;4;2800;0;2333837
Native;100000;4;2800;1;2555580
KMP;100000;4;2800;1;2103174
KMP_O;100000;4;2800;1;2520409
Native;100000;4;2800;2;2571477
KMP;100000;4;2800;2;2075401
KMP_O;100000;4;2800;2;2248017
Native;100000;4;2800;3;2619631
KMP;100000;4;2800;3;2047511
KMP_O;100000;4;2800;3;2159368
Native;100000;4;2800;4;2601457
KMP;100000;4;2800;4;2056389
KMP_O;100000;4;2800;4;2220324
Native;10000;2;2900;0;213673
KMP;10000;2;2900;0;254619
KMP_O;10000;2;2900;0;300817
Native;10000;2;2900;1;212574
KMP;10000;2;2900;1;253377
KMP_O;10000;2;2900;1;303000
Native;10000;2;2900;2;211879
KMP;10000;2;2900;2;253393
KMP_O;10000;2;2900;2;308187
Native;10000;2;2900;3;217628
KMP;10000;2;2900;3;255565
KMP_O;10000;2;2900;3;325069
Native;10000;2;2900;4;212011
KMP;10000;2;2900;4;253241
KMP_O;10000;2;2900;4;321297
Native;10000;4;2900;0;212027
KMP;10000;4;2900;0;246720
KMP_O;10000;4;2900;0;323335
Native;10000;4;2900;1;212160
KMP;10000;4;2900;1;246344
KMP_O;10000;4;2900;1;322336
Native;10000;4;2900;2;211706
KMP;10000;4;2900;2;245645
KMP_O;10000;4;2900;2;321051
Native;10000;4;2900;3;211716
KMP;10000;4;2900;3;274782
KMP_O;10000;4;2900;3;369882
Native;10000;4;2900;4;212139
KMP;10000;4;2900;4;247038
KMP_O;10000;4;2900;4;322124
Native;100000;2;2900;0;2583521
KMP;100000;2;2900;0;2116239
KMP_O;100000;2;2900;0;2541037
Native;100000;2;2900;1;2607677
KMP;100000;2;2900;1;2022810
KMP_O;100000;2;2900;1;2148430
Native;100000;2;2900;2;2578994
KMP;100000;2;2900;2;2039427
KMP_O;100000;2;2900;2;2988902
Native;100000;2;2900;3;2569342
KMP;100000;2;2900;3;2093551
KMP_O;100000;2;2900;3;2358928
Native;100000;2;2900;4;2598945
KMP;100000;2;2900;4;2054720
KMP_O;100000;2;2900;4;2356545
Native;100000;4;2900;0;2548473
KMP;100000;4;2900;0;2090439
KMP_O;100000;4;2900;0;2661539
Native;100000;4;2900;1;2576724
KMP;100000;4;2900;1;2108095
KMP_O;100000;4;2900;1;2451922
Native;100000;4;2900;2;2579895
KMP;100000;4;2900;2;2034669
KMP_O;100000;4;2900;2;2292238
Native;100000;4;2900;3;2564678
KMP;100000;4;2900;3;2247255
KMP_O;100000;4;2900;3;2397072
Native;100000;4;2900;4;2607530
KMP;100000;4;2900;4;2103956
KMP_O;100000;4;2900;4;2247428
Native;10000;2;3000;0;207925
KMP;10000;2;3000;0;250662
KMP_O;10000;2;3000;0;348699
Native;10000;2;3000;1;208652
KMP;10000;2;3000;1;250945
KMP_O;10000;2;3000;1;349895
Native;10000;2;3000;2;207427
KMP;10000;2;3000;2;249775
KMP_O;10000;2;3000;2;347083
Native;10000;2;3000;3;207796
KMP;10000;2;3000;3;254799
KMP_O;10000;2;3000;3;347889
Native;10000;2;3000;4;207023
KMP;10000;2;3000;4;263042
KMP_O;10000;2;3000;4;347369
Native;10000;4;3000;0;211140
KMP;10000;4;3000;0;250180
KMP_O;10000;4;3000;0;294154
Native;10000;4;3000;1;211152
KMP;10000;4;3000;1;252658
KMP_O;10000;4;3000;1;336063
Native;10000;4;3000;2;210933
KMP;10000;4;3000;2;252240
KMP_O;10000;4;3000;2;392940
Native;10000;4;3000;3;210148
KMP;10000;4;3000;3;253512
KMP_O;10000;4;3000;3;350304
Native;10000;4;3000;4;209449
KMP;10000;4;3000;4;268356
KMP_O;10000;4;3000;4;349412
Native;100000;2;3000;0;2704281
KMP;100000;2;3000;0;2114783
KMP_O;100000;2;3000;0;2268756
Native;100000;2;3000;1;2590249
KMP;100000;2;3000;1;2033022
KMP_O;100000;2;3000;1;2138943
Native;100000;2;3000;2;2542585
KMP;100000;2;3000;2;2118823
KMP_O;100000;2;3000;2;3283211
Native;100000;2;3000;3;2598369
KMP;100000;2;3000;3;2059263
KMP_O;100000;2;3000;3;2157609
Native;100000;2;3000;4;2566855
KMP;100000;2;3000;4;2069887
KMP_O;100000;2;3000;4;2172221
Native;100000;4;3000;0;2582854
KMP;100000;4;3000;0;2110542
KMP_O;100000;4;3000;0;2454205
Native;100000;4;3000;1;2547089
KMP;100000;4;3000;1;2088899
KMP_O;100000;4;3000;1;2414972
Native;100000;4;3000;2;2594098
KMP;100000;4;3000;2;2103960
KMP_O;100000;4;3000;2;2370235
Native;100000;4;3000;3;2603504
KMP;100000;4;3000;3;2182535
KMP_O;100000;4;3000;3;2187836
Native;100000;4;3000;4;2564502
KMP;100000;4;3000;4;2052571
KMP_O;100000;4;3000;4;2285583
